戦略: S1 バランス効率型
run  開始      周回時間   ノルマ維持  帯域Y      維持判定 最高層 討伐 金  総クッキー     PT  スキル数  前周比
  0      0m0s     42m5s      1m3s    30m42s  短い      2    1  41       5.65e+6     17    1   -  core
  1     42m5s    29m25s    15m59s    32m44s  短い      5   27  38       3.57e+8     24    1   63.14  click_1
  2  1h11m30s    26m58s     17m7s    34m15s  短い      6   29  45      7.38e+10     36    1   206.59  golden_1
  3  1h38m28s    29m41s    18m13s    35m41s  OK     12   33  68      6.91e+13     60    1   936.94  monster_1
  4    2h8m9s    36m43s    18m57s    37m16s  OK      7   50 136      3.67e+16     96    1   530.86  auto_1
  5  2h44m52s    23m35s     20m9s    38m11s  OK     28   64  80      6.33e+23    336    1   17263413.45  economy_1
  6   3h8m27s    31m16s    20m20s    39m19s  OK     30   72 120      2.63e+26    528    1   414.56  click_2
  7  3h39m43s    29m51s     21m2s    40m19s  OK     34   97 152      2.23e+29    876    1   850.75  golden_2
  8   4h9m34s    35m26s    21m43s    41m26s  OK     35  103 163      5.40e+31   1322    1   241.74  monster_2
  9   4h45m0s   1h55m9s    21m59s    44m40s  短い     34  107 893      3.75e+34   2160    1   695.05  auto_2
 10   6h40m9s    36m24s    24m40s    45m35s  OK     43  156 235      1.39e+37   3365    3   369.47  economy_2,economy_analysis,order_board
 11  7h16m33s    40m34s    24m13s    46m34s  OK     46  172 290      5.67e+39   5283    1   409.00  click_3
 12   7h57m7s    55m41s    24m44s    47m50s  OK     48  193 516      2.29e+42   8287    1   404.56  upgrade_moon
 13  8h52m48s    34m34s    25m11s    48m36s  OK     61  271 361      2.31e+50  33010    1   100629217.03  auto_3
 14  9h27m22s    30m25s    26m20s    49m15s  OK     71  358 351      1.34e+58  126153    2   57991738.04  research_1,bake_temperature
 15  9h57m47s    26m10s    26m10s    49m48s  OK     82  439 330      7.35e+65  480140    1   54904072.35  research_remodel
 16  10h23m57s    56m33s    26m16s    50m57s  OK     80  426 944      5.83e+68  792146    2   792.79  golden_3,research_analysis
