戦略: S1 バランス効率型
run  開始      周回時間   ノルマ維持  帯域Y      維持判定 最高層 討伐 金  総クッキー     PT  スキル数  前周比
  0      0m0s     54m1s      1m3s    26m51s  短い      2    1  53       4.42e+6     17    1   -  core
  1     54m1s   1h1m29s    13m59s    28m10s  短い      4   25  83       6.45e+9     30    1   1459.15  click_1
  2  1h55m30s   1h8m29s    14m40s    29m15s  OK      6   26 124      3.45e+12     48    1   534.39  golden_1
  3   3h3m59s  1h20m17s    15m14s    30m18s  OK      6   26 228      2.24e+15     78    1   650.63  monster_1
  4  4h24m16s  1h34m42s    15m47s    31m20s  OK      6   41 356      6.88e+17    120    1   306.76  auto_1
  5  5h58m58s  1h12m42s    16m26s     32m3s  OK      8   43 235      3.62e+20    192    1   526.40  economy_1
  6  7h11m40s  1h29m52s    16m50s    32m51s  OK      8   43 359      1.39e+23    300    1   383.88  click_2
  7  8h41m32s  1h34m23s    17m13s    33m37s  OK     11   48 312      6.24e+25    474    1   448.40  golden_2
  8  10h15m55s  2h11m30s    17m52s    34m35s  OK     13   49 420      2.83e+28    750    1   453.44  monster_2
  9  12h27m25s   3h7m19s    18m36s    35m50s  OK     14   53 900      1.13e+31   1176    1   399.97  auto_2
 10  15h34m44s  1h51m22s    19m14s    36m32s  OK     21   72 514      3.30e+33   1800    3   291.85  economy_2,economy_analysis,order_board
 11  17h26m6s  2h39m30s    19m31s    37m27s  OK     22   80 818      1.74e+36   2880    1   527.45  click_3
 12  20h5m36s  1h54m48s    19m55s     38m4s  OK     25   96 629      6.78e+38   4505    1   389.11  upgrade_moon
 13  22h0m24s    59m49s    20m33s    38m23s  OK     33  136 420      2.81e+41   7080    2   414.56  auto_3,bake_temperature
 14  23h0m13s    43m55s    21m17s    38m37s  OK     40  176 389      1.13e+44  11100    1   401.77  research_1
 15  23h44m8s    50m34s    21m28s    38m52s  OK     39  181 467      2.85e+46  16807    2   252.49  research_remodel,research_analysis
 16  24h34m42s    57m28s    21m17s    39m10s  OK     40  180 681      1.59e+49  27011    1   558.80  golden_3
 17  25h32m10s     59m4s     22m2s    39m27s  OK     42  198 708      6.96e+51  42619    2   437.38  upgrade_time,golden_analysis
 18  26h31m14s    49m14s    22m38s    39m41s  OK     47  244 676      2.68e+54  66606    1   384.98  monster_3
 19  27h20m28s    48m36s    28m27s    39m55s  OK     56  360 687      1.08e+57  104448    2   402.84  auto_4,hunt_analysis
 20   28h9m4s    24m41s    24m41s     40m2s  OK     79  592 320      3.78e+63  323387    2   3501635.89  click_4,offline_1
 21  28h33m45s     23m9s     23m9s     40m8s  OK     88  648 322      4.17e+71  1296928    1   110296295.51  upgrade_galaxy
 22  28h56m54s    27m33s    27m33s    40m16s  OK     98  811 452      3.24e+79  5066545    1   77734498.34  golden_4
 23  29h24m27s     29m2s     29m2s    40m24s  OK    106  906 686      4.33e+85  14591572    3   1334141.27  monster_4,start_1,start_2
 24  29h53m29s    33m42s    33m42s    40m33s  OK    113 1083 818      3.42e+91  40403417    4   789853.78  upgrade_blackhole,reward_1,reward_synergy,reward_choice_2
 25  30h27m11s    29m24s    29m24s    40m41s  OK    120  954 694      2.45e+97  111079464    1   718139.83  unlock_reward_crackedFang
 26  30h56m35s    32m43s    32m43s    40m50s  OK    129 1091 812     3.00e+104  377753822    1   12236800.64  unlock_reward_goldenChain
 27  31h29m18s    32m58s    32m58s    40m59s  OK    132 1143 832     2.20e+107  619625776    1   733.85  upgrade_universe
 28  32h2m16s    34m29s    34m29s     41m8s  OK    136 1202 872     8.66e+109  969843514    1   392.91  unlock_reward_chainPrep
 29  32h36m45s    45m41s    37m19s    41m20s  OK    138 1343 1238     3.01e+112  1504074473    1   347.46  unlock_reward_huntFocus
 30  33h22m26s     46m0s    37m41s    41m32s  OK    137 1320 1200     3.40e+115  2548212797    1   1129.50  upgrade_godfinger
 31  34h8m26s    37m51s    35m54s    41m41s  OK    145 1260 953     1.51e+118  4026215164    1   445.47  unlock_reward_goldenTarget
 32  34h46m17s    35m38s    35m38s    41m50s  OK    149 1248 885     6.69e+120  6357592326    1   441.85  upgrade_singularity
 33  35h21m55s    31m27s    31m27s    41m58s  OK    152 1102 770     3.30e+123  10122219182    1   493.30  unlock_reward_goldenFirstHit
 34  35h53m22s    34m28s    34m28s     42m7s  OK    155 1194 868     1.45e+126  15979042593    1   440.22  unlock_reward_beastScent
 35  36h27m50s    31m19s    31m19s    42m15s  OK    159 1094 756     4.91e+128  24728497437    1   337.77  reward_2
 36  36h59m9s    31m41s    31m41s    42m22s  OK    162 1115 766     2.43e+131  39386227771    1   495.78  upgrade_quantum
 37  37h30m50s     32m6s     32m6s    42m30s  OK    165 1124 780     8.29e+133  60996347198    1   341.03  unlock_reward_biteRecovery
 38  38h2m56s    33m40s    33m40s    42m38s  OK    168 1180 798     5.23e+136  98922191316    1   630.76  unlock_reward_beastHeatFerment
 39  38h36m36s    29m15s    29m15s    42m46s  OK    171 1003 654     1.10e+139  147786739232    1   211.13  unlock_reward_huntingCore
 40  39h5m51s    23m52s    23m52s    42m51s  OK    174  817 416     4.33e+141  231288447757    1   392.27  upgrade_antimatter
 41  39h29m43s    19m55s    19m55s    42m56s  短い    178  676 322     3.40e+144  381294623381    1   784.80  unlock_reward_brandHunt
 42  39h49m38s    19m51s    19m51s     43m1s  短い    181  676 306     9.56e+146  582006424572    1   281.12  unlock_reward_crushedMill
 43  40h9m29s    19m58s    19m58s     43m5s  短い    184  688 372     4.23e+149  919159410041    1   442.77  unlock_reward_deepPursuit
 44  40h29m27s    20m28s    20m28s    43m10s  短い    187  703 286     1.16e+152  1400377331805    1   274.19  unlock_reward_goldenBeastMutation
 45  40h49m55s    21m22s    21m22s    43m15s  短い    190  736 390     4.62e+154  2193918474105    1   397.81  master_final
 46  41h11m17s  58h48m43s    30m57s     54m0s  -     222 1107 105642     2.40e+185  441413353990476    0   5.187997597247241e+30 (途中)  
合計: 2.40e+185 / 100倍達成 45/45 / PT2-100倍 45/45 / ペース 20/81
