⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S11 中央値比=1000000000.000 (n=10)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=7)
  OK 料理:mintIce               S10 中央値比=1000000000.000 (n=7)
  OK 料理:hunterStew            S11 中央値比=1000000000.000 (n=8)
  OK 料理:frostCake             S1 中央値比=734001.281 (n=7)
  OK 料理:stardustParfait       S1 中央値比=1000000000.000 (n=5)
  OK 料理:voidTart              S11 中央値比=1000000000.000 (n=3)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S11 中央値比=1000000000.000 (n=6)
  OK 注文報酬:materials           S11 中央値比=1000000000.000 (n=6)
  OK 注文報酬:boost               S2 中央値比=1000000000.000 (n=5)
㉙ 合計 3/3
新装備(a) 装備lift(取得後全周回の中央値比≥1.5・装備は周回跨ぎで永続)
  OK 装備lift:weapon_t1_v1         中央値比=6.681 (n=7, S11)
  OK 装備lift:weapon_t1_v3         中央値比=7.220 (n=1, S1)
  OK 装備lift:weapon_t1_v5         中央値比=3.131 (n=1, S13)
  OK 装備lift:weapon_t1_v8         中央値比=2.058 (n=1, S7)
  OK 装備lift:shield_t1_v1         中央値比=5.254 (n=10, S13)
  OK 装備lift:shield_t1_v6         中央値比=1196904.877 (n=1, S4)
  OK 装備lift:armorTop_t1_v1       中央値比=5.326 (n=13, S13)
  OK 装備lift:armorTop_t1_v4       中央値比=3.131 (n=1, S13)
  OK 装備lift:armorBottom_t1_v1    中央値比=4.626 (n=11, S13)
  OK 装備lift:armorBottom_t1_v3    中央値比=2.184 (n=4, S13)
  OK 装備lift:armorBottom_t1_v4    中央値比=103977.491 (n=1, S12)
  OK 装備lift:armorBottom_t1_v5    中央値比=3030.250 (n=2, S10)
  OK 装備lift:armorBottom_t1_v6    中央値比=16090255396978425856.000 (n=5, S10)
  OK 装備lift:armorBottom_t1_v7    中央値比=293.891 (n=2, S7)
  OK 装備lift:hands_t1_v1          中央値比=7.209 (n=12, S12)
  OK 装備lift:hands_t1_v3          中央値比=6.082 (n=1, S13)
  OK 装備lift:hands_t1_v4          中央値比=16384196512.041 (n=1, S8)
  OK 装備lift:hands_t1_v6          中央値比=3030.250 (n=2, S10)
  OK 装備lift:hat_t1_v1            中央値比=1.651 (n=11, S13)
  OK 装備lift:hat_t1_v2            中央値比=1711.568 (n=1, S5)
  OK 装備lift:hat_t1_v3            中央値比=4.852 (n=5, S13)
  OK 装備lift:hat_t1_v4            中央値比=4.470200983284624e+31 (n=1, S3)
  OK 装備lift:hat_t1_v6            中央値比=2.055 (n=1, S9)
  OK 装備lift:hat_t1_v8            中央値比=2.938 (n=1, S2)
  OK 装備lift:shoes_t1_v1          中央値比=3.418 (n=4, S12)
  OK 装備lift:shoes_t1_v2          中央値比=598721.160 (n=2, S13)
  OK 装備lift:shoes_t1_v4          中央値比=2.388 (n=1, S6)
  OK 装備lift:shoes_t1_v6          中央値比=16384196512.041 (n=1, S8)
  OK 装備lift:shoes_t1_v9          中央値比=2.938 (n=1, S2)
  OK 装備lift:accA_t1_v1           中央値比=6.939 (n=10, S12)
  OK 装備lift:accA_t1_v3           中央値比=5.467 (n=2, S13)
  OK 装備lift:accA_t1_v7           中央値比=7.220 (n=1, S1)
  OK 装備lift:accB_t1_v1           中央値比=4.166 (n=10, S12)
  OK 装備lift:accB_t1_v2           中央値比=2.938 (n=1, S2)
  OK 装備lift:accB_t1_v3           中央値比=3.044 (n=2, S6)
  OK 装備lift:accB_t1_v4           中央値比=3.131 (n=1, S13)
  OK 装備lift:accB_t1_v7           中央値比=4.841 (n=1, S7)
  OK 装備lift:accB_t1_v8           中央値比=8192098265.306 (n=2, S11)
  OK 装備lift:weapon_t2_v1         中央値比=9531.635 (n=1, S8)
  OK 装備lift:weapon_t2_v4         中央値比=498739539800.149 (n=2, S11)
  OK 装備lift:weapon_t2_v6         中央値比=598721.160 (n=2, S13)
  OK 装備lift:weapon_t2_v9         中央値比=58251.499 (n=1, S7)
  OK 装備lift:shield_t2_v1         中央値比=4766.987 (n=4, S12)
  OK 装備lift:shield_t2_v4         中央値比=1124.506 (n=6, S13)
  OK 装備lift:armorTop_t2_v1       中央値比=2.364 (n=8, S12)
  OK 装備lift:armorTop_t2_v4       中央値比=59540.253 (n=9, S13)
  OK 装備lift:armorBottom_t2_v1    中央値比=1711.568 (n=1, S5)
  OK 装備lift:armorBottom_t2_v3    中央値比=537.443 (n=1, S13)
  OK 装備lift:armorBottom_t2_v4    中央値比=16193698608433.078 (n=1, S8)
  OK 装備lift:armorBottom_t2_v6    中央値比=23850543148034.168 (n=5, S10)
  OK 装備lift:armorBottom_t2_v7    中央値比=2.938 (n=1, S2)
  OK 装備lift:hands_t2_v1          中央値比=598721.160 (n=2, S13)
  OK 装備lift:hands_t2_v6          中央値比=2.388 (n=3, S9)
  OK 装備lift:hat_t2_v1            中央値比=5.075810089748576e+21 (n=2, S12)
  OK 装備lift:hat_t2_v3            中央値比=6.188439577935747e+27 (n=2, S13)
