⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S8 中央値比=500304607.997 (n=10)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=7)
  OK 料理:mintIce               S10 中央値比=1000000000.000 (n=7)
  OK 料理:hunterStew            S4 中央値比=1000000000.000 (n=7)
  OK 料理:frostCake             S8 中央値比=1000000000.000 (n=8)
  OK 料理:stardustParfait       S8 中央値比=1000000000.000 (n=6)
  OK 料理:voidTart              S4 中央値比=183622.700 (n=1)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S2 中央値比=1000000000.000 (n=6)
  OK 注文報酬:materials           S2 中央値比=1000000000.000 (n=5)
  OK 注文報酬:boost               S2 中央値比=1000000000.000 (n=5)
㉙ 合計 3/3
新装備(a) 装備lift(取得後全周回の中央値比≥1.5・装備は周回跨ぎで永続)
  OK 装備lift:weapon_t1_v1         中央値比=22.097 (n=1, S9)
  OK 装備lift:weapon_t1_v3         中央値比=416.520 (n=2, S4)
  OK 装備lift:weapon_t1_v5         中央値比=4.815 (n=1, S13)
  OK 装備lift:weapon_t1_v8         中央値比=2.114 (n=1, S7)
  OK 装備lift:weapon_t1_v9         中央値比=5584.255 (n=1, S8)
  OK 装備lift:shield_t1_v1         中央値比=3.234 (n=12, S12)
  OK 装備lift:shield_t1_v3         中央値比=3.348 (n=3, S13)
  OK 装備lift:shield_t1_v6         中央値比=653281.503 (n=2, S13)
  OK 装備lift:armorTop_t1_v3       中央値比=2.742 (n=5, S11)
  OK 装備lift:armorTop_t1_v4       中央値比=4.815 (n=1, S13)
  OK 装備lift:armorTop_t1_v5       中央値比=9.969 (n=1, S11)
  OK 装備lift:armorTop_t1_v6       中央値比=1.2545300340825347e+22 (n=1, S3)
  OK 装備lift:armorBottom_t1_v1    中央値比=2.794 (n=20, S13)
  OK 装備lift:armorBottom_t1_v4    中央値比=31951.926 (n=2, S13)
  OK 装備lift:armorBottom_t1_v5    中央値比=3641.960 (n=2, S10)
  OK 装備lift:armorBottom_t1_v6    中央値比=185379777252802461696.000 (n=8, S13)
  OK 装備lift:hands_t1_v1          中央値比=4.587 (n=6, S12)
  NG 装備lift:hands_t1_v2          中央値比=1.363 (n=1, S6)
  OK 装備lift:hands_t1_v3          中央値比=2.114 (n=1, S7)
  OK 装備lift:hands_t1_v4          中央値比=5584.255 (n=1, S8)
  OK 装備lift:hands_t1_v6          中央値比=3641.960 (n=2, S10)
  OK 装備lift:hands_t1_v9          中央値比=4.815 (n=1, S13)
  OK 装備lift:hat_t1_v1            中央値比=2.351 (n=16, S13)
  OK 装備lift:hat_t1_v2            中央値比=3.612548814631002e+22 (n=1, S5)
  OK 装備lift:hat_t1_v3            中央値比=3.02802816164641e+23 (n=2, S6)
  OK 装備lift:hat_t1_v4            中央値比=1664179774749169.750 (n=3, S10)
  OK 装備lift:hat_t1_v6            中央値比=13225109423399444480.000 (n=1, S9)
  OK 装備lift:hat_t1_v7            中央値比=2.826 (n=3, S11)
  OK 装備lift:hat_t1_v8            中央値比=2.728 (n=1, S2)
  OK 装備lift:shoes_t1_v1          中央値比=22.097 (n=5, S12)
  OK 装備lift:shoes_t1_v2          中央値比=653281.503 (n=2, S13)
  OK 装備lift:shoes_t1_v6          中央値比=5584.255 (n=1, S8)
  OK 装備lift:accA_t1_v1           中央値比=3.168 (n=5, S12)
  OK 装備lift:accA_t1_v7           中央値比=2.826 (n=5, S13)
  OK 装備lift:accA_t1_v8           中央値比=2.177 (n=3, S4)
  OK 装備lift:accA_t1_v9           中央値比=7071.714 (n=1, S1)
  OK 装備lift:accB_t1_v1           中央値比=3.569 (n=13, S13)
  OK 装備lift:accB_t1_v2           中央値比=2.728 (n=1, S2)
  OK 装備lift:accB_t1_v4           中央値比=4.815 (n=1, S13)
  OK 装備lift:accB_t1_v8           中央値比=2797.112 (n=2, S11)
  OK 装備lift:weapon_t2_v4         中央値比=1042813526906.015 (n=2, S11)
  OK 装備lift:weapon_t2_v6         中央値比=653281.503 (n=2, S13)
  OK 装備lift:weapon_t2_v9         中央値比=1664179774749169.750 (n=1, S7)
  OK 装備lift:shield_t2_v1         中央値比=12.633 (n=4, S12)
  OK 装備lift:shield_t2_v4         中央値比=6.272650170412674e+21 (n=4, S10)
  OK 装備lift:armorTop_t2_v1       中央値比=3.168 (n=5, S12)
  OK 装備lift:armorTop_t2_v4       中央値比=31980.588 (n=6, S13)
  OK 装備lift:armorTop_t2_v6       中央値比=44.315 (n=1, S11)
  OK 装備lift:armorBottom_t2_v1    中央値比=3.612548814631002e+22 (n=1, S5)
  OK 装備lift:armorBottom_t2_v4    中央値比=197522.360 (n=1, S8)
  OK 装備lift:armorBottom_t2_v6    中央値比=200383657930921.375 (n=4, S13)
  OK 装備lift:armorBottom_t2_v7    中央値比=2.728 (n=1, S2)
  OK 装備lift:hands_t2_v1          中央値比=6740.426 (n=3, S13)
  OK 装備lift:hands_t2_v6          中央値比=63748.971 (n=3, S12)
  OK 装備lift:hands_t2_v9          中央値比=9.969 (n=1, S11)
